,name,total_time,f2l_time,ll_time,cross+1_time,ols_time,pll_time,total_time_percent,f2l_time_percent,ll_time_percent,cross+1_percent,ols_percent,pll_percent,total_stm,f2l_stm,ll_stm,cross+1_stm,ols_stm,pll_stm,total_stps,f2l_stps,ll_stps,cross+1_stps,ols_stps,pll_stps,total_etm,f2l_etm,ll_etm,cross+1_etm,ols_etm,pll_etm,total_etps,f2l_etps,ll_etps,cross+1_etps,ols_etps,pll_etps,cross_type,zbll,num_steps
92,Max Park,4.64,2.87,1.77,1.3,1.13,1.24,100.0,61.9,38.1,28.0,24.4,26.7,55.0,35.0,20.0,14.0,16.0,13.0,11.85,12.2,11.3,10.77,14.16,10.48,57.0,36.0,21.0,14.0,16.0,14.0,12.28,12.54,11.86,10.77,14.16,11.29,xcross,False,6.0
93,Max Park,4.56,2.4,2.16,0.9,1.17,1.46,100.0,52.6,47.4,19.7,25.7,32.0,59.0,32.0,27.0,10.0,18.0,17.0,12.94,13.33,12.5,11.11,15.38,11.64,59.0,32.0,27.0,10.0,18.0,17.0,12.94,13.33,12.5,11.11,15.38,11.64,xcross,False,6.0
94,Max Park,3.88,2.93,0.95,1.1,1.27,0.18,100.0,75.5,24.5,28.4,32.7,4.6,50.0,39.0,11.0,12.0,18.0,2.0,12.89,13.31,11.58,10.91,14.17,11.11,51.0,40.0,11.0,12.0,18.0,2.0,13.14,13.65,11.58,10.91,14.17,11.11,xcross,False,6.0
95,Yiheng Wang,5.17,3.07,2.1,1.47,1.23,1.27,100.0,59.4,40.6,28.4,23.8,24.6,60.0,34.0,26.0,11.0,18.0,15.0,11.61,11.07,12.38,7.48,14.63,11.81,60.0,34.0,26.0,11.0,18.0,15.0,11.61,11.07,12.38,7.48,14.63,11.81,cross,False,6.0
96,Yiheng Wang,4.48,2.43,2.05,0.87,1.27,1.31,100.0,54.2,45.8,19.4,28.3,29.2,47.0,24.0,23.0,5.0,17.0,13.0,10.49,9.88,11.22,5.75,13.39,9.92,47.0,24.0,23.0,5.0,17.0,13.0,10.49,9.88,11.22,5.75,13.39,9.92,xcross,False,6.0
97,Yiheng Wang,5.93,3.73,2.2,1.57,1.37,1.6,100.0,62.9,37.1,26.5,23.1,27.0,62.0,36.0,26.0,12.0,16.0,19.0,10.46,9.65,11.82,7.64,11.68,11.88,64.0,38.0,26.0,12.0,17.0,19.0,10.79,10.19,11.82,7.64,12.41,11.88,cross,False,7.0
98,Yiheng Wang,4.93,2.6,2.33,1.13,1.43,1.43,100.0,52.7,47.3,22.9,29.0,29.0,58.0,29.0,29.0,9.0,20.0,17.0,11.76,11.15,12.45,7.96,13.99,11.89,59.0,30.0,29.0,9.0,20.0,17.0,11.97,11.54,12.45,7.96,13.99,11.89,cross,False,7.0
99,Yiheng Wang,5.11,2.53,2.58,0.8,1.63,1.64,100.0,49.5,50.5,15.7,31.9,32.1,61.0,27.0,34.0,8.0,20.0,22.0,11.94,10.67,13.18,10.0,12.27,13.41,64.0,30.0,34.0,8.0,21.0,22.0,12.52,11.86,13.18,10.0,12.88,13.41,xcross,False,6.0
100,Tymon Kolasiński,3.95,2.24,1.71,0.8,0.48,1.23,100.0,56.7,43.3,20.3,12.2,31.1,40.0,21.0,19.0,5.0,8.0,11.0,10.13,9.38,11.11,6.25,16.67,8.94,40.0,21.0,19.0,5.0,8.0,11.0,10.13,9.38,11.11,6.25,16.67,8.94,xcross,False,5.0
101,Tymon Kolasiński,4.92,2.73,2.19,1.37,0.97,1.62,100.0,55.5,44.5,27.8,19.7,32.9,52.0,24.0,28.0,9.0,11.0,21.0,10.57,8.79,12.79,6.57,11.34,12.96,53.0,25.0,28.0,10.0,11.0,21.0,10.77,9.16,12.79,7.3,11.34,12.96,xcross,False,6.0
